Brand,Model,Total Capacity,Kit,Speed,CAS Latency,Type,Features,Title,Price,Rating,Reviews
,,,,6000MHz,CL28,DDR5,,"KLEVV FIT V 32 Go (2x16 Go) DDR5 Gaming RAM 6000MHz PC5-48000 Non tamponné Non ECC 1,35 V CL28 Kit de modules mémoire — Jouez Plus Vite avec Un CL28 Ultra Bas","112,01 €
112
,
01€",,161
Corsair,,16GB,2x8gb,3200MHz,,DDR4,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 3200MHz C16 - Black,"66,66 €
66
,
66€",,26 737
,,,,,,DDR4,,Vengeance RGB PRO 2 x 8 Go DDR4 3200 MHz CAS 16 Noir,"106,72 €
106
,
72€",,49 773
,,,,,,DDR4,,"Lexar SODIMM RAM DDR4 16Go, 3200 MHz Ram PC Portable, Mémoire pour Ordinateur Portable SODIMM, 260-Pin SO-DIMM, Mémoire RAM, Memoire Haute Performance (LD4AS016G-B3200ASST)","40,82 €
40
,
82€",,1 209
,,,,,CL18,DDR4,Intel XMP,"Lexar THOR RAM DDR4 16Go Kit (2x8Go) 3600 MHz, DRAM 288-Pin U-DIMM PC Mémoire RAM, XMP 2.0 Memoire Haute Performance, CL18-22-22-42, 1.35V (LD4BU008G-R3600GDWG)","46,77 €
46
,
77€",,100
,,,,,,DDR4,,"Lexar SODIMM RAM DDR4 8Go, 3200 MHz, Mémoire pour PC Ordinateur Portable, 260-Pin SO-DIMM, Haute Performance (LD4AS008G-B3200ASST)","23,32 €
23
,
32€",,1 123
Corsair,,,,6000MHz,CL30,DDR5,"Intel XMP, AMD EXPO",CORSAIR VENGEANCE RGB DDR5 32Go (2x16Go) DDR5 6000MHz CL30 AMD EXPO Intel XMP iCUE Mémoire Informatique Compatible - Gris (CMH32GX5M2B6000Z30K),"116,66 €
116
,
66€",,3 744
Corsair,,,,3200MHz,,DDR4,Intel XMP,Corsair Vengeance LPX 16Go (2x8Go) DDR4 3200MHz C16 XMP 2.0 Kit de Mémoire Haute Performance - Noir,"109,97 €
109
,
97€",,11 123
Crucial,CRUCIAL,,,6000MHz,CL36,DDR5,"Intel XMP, AMD EXPO, Overclocking","Crucial Pro RAM DDR5 32Go Kit (2x16Go) 6000MHz CL36, Overclocking Gaming, Intel XMP 3.0 / AMD Expo, PC Mémoire, Blanc - CP2K16G60C36U5W","78,32 €
78
,
32€",,4 006
Patriot,,,,,,DDR5,,Patriot Viper Venom DDR5 32 Go (2 x 16 Go) 6000 MT/s UDIMM Kit de mémoire de Jeu de Bureau - PVV532G600C30K,"99,99 €
99
,
99€",,1 395
,,32GB,,,CL28,DDR5,"Intel XMP, Overclocking",KLEVV CRAS V DDR5 RGB 32GB (2X 16GB) 6000MH/z CL28 Mémoire RAM Gaming Kit XMP 3.0 Hautes Performances Overclocking 28-36-36-76 – Jouez Plus Vite avec CL28 Ultra-Bas,"103,29 €
103
,
29€",,161
Corsair,,,,,,DDR4,,"Corsair Vengeance RGB RS 16 Go (2 x 8 Go), mémoire de bureau DDR4 3200 MHz C16 (éclairage RVB dynamique, temps de réponse serrés, compatible avec les séries Intel et AMD 300/400/500), noir","58,32 €
58
,
32€",,2 710
Crucial,,,,5600MHz,,DDR5,,Crucial RAM 32Go Kit (2x16Go) DDR5 5600MHz (ou 5200MHz ou 4800MHz) Mémoire pour Ordinateur Portable CT2K16G56C46S5,"87,15 €
87
,
15€",,12 316
Corsair,,,,6000MHz,CL30,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 64Go (2x32Go) 6000MHz CL30 AMD Expo Compatible iCUE Mémoire d'Ordinateur - Gris (CMK64GX5M2B6000Z30),"200,47 €
200
,
47€",,2 456
Corsair,,,,6400MHz,CL32,DDR5,Intel XMP,CORSAIR Vengeance DDR5 RAM 32Go (2x16Go) 6400MHz CL32 Intel XMP Compatible iCUE Mémoire d'Ordinateur - Noir (CMK32GX5M2B6400C32),"104,16 €
104
,
16€",,1 201
Corsair,,,,3200MHz,CL16,DDR4,Intel XMP,Corsair Vengeance LPX DDR4 RAM 32Go (2x16Go) 3200MHz CL16 Intel XMP 2.0 Mémoire d'ordinateur - Noir (CMK32GX4M2E3200C16),"79,03 €
79
,
03€",,26 737
Corsair,,32GB,2x16gb,6000MHz,CL30,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6000MHz CL30 AMD Expo Mémoire D'ordinateur Compatible iCUE - Gris (CMK32GX5M2B6000Z30),"109,94 €
109
,
94€",,2 456
Crucial,CRUCIAL,,,6000MHz,CL36,DDR5,"Intel XMP, AMD EXPO, Overclocking","Crucial Pro RAM DDR5 32Go Kit (2x16Go) 6000MHz CL36, Overclocking Gaming, Intel XMP 3.0 / AMD Expo, PC Mémoire, Noir - CP2K16G60C36U5B","77,49 €
77
,
49€",,4 006
Corsair,,,,6000MHz,CL30,DDR5,"Intel XMP, AMD EXPO",Corsair Vengeance RGB DDR5 RAM 64Go (2x32Go) 6000MHz CL30 AMD Expo Intel XMP 3.0 Mémoire d'Ordinateur – Gris (CMH64GX5M2B6000Z30),"199,99 €
199
,
99€",,3 744
Corsair,,,,,,DDR4,,"Corsair Vengeance LPX 32 Go (2 x 16 Go) DDR4 3600 (PC4-28800) Mémoire Optimisée AMD C18 1,35 V - Noir","137,22 €
137
,
22€",,3 657
Corsair,,32GB,2x16gb,6000MHz,CL36,DDR5,AMD EXPO,CORSAIR Vengeance RGB DDR5 RAM 32GB (2x16GB) 6000MHz CL36 AMD Expo Mémoire Informatique Compatible iCUE - Gris (CMH32GX5M2E6000Z36),"106,37 €
106
,
37€",,1 004
Crucial,,,,5600MHz,CL46,DDR5,,"Crucial RAM DDR5 64Go Kit (2x32Go) 5600MHz SODIMM, Mémoire pour Ordinateur Portable, Mini PC (ou 5200MHz / 4800MHz) CL46 - CT2K32G56C46S5","166,66 €
166
,
66€",,12 316
Corsair,,,,3200MHz,,DDR4,Intel XMP,Corsair Vengeance LPX 16Go (2x8Go) DDR4 3200MHz C16 XMP 2.0 Kit de Mémoire Haute Performance - Noir,"81,57 €
81
,
57€",,114 239
Corsair,,32GB,2x16gb,6000MHz,CL36,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6000MHz CL36 AMD Expo Mémoire Informatique Compatible iCUE - Gris (CMK32GX5M2E6000Z36),"99,99 €
99
,
99€",,1 080
,,,,6000MHz,CL28,DDR5,,"KLEVV FIT V 32 Go (2x16 Go) DDR5 Gaming RAM 6000MHz PC5-48000 Non tamponné Non ECC 1,35 V CL28 Kit de modules mémoire — Jouez Plus Vite avec Un CL28 Ultra Bas","112,01 €
112
,
01€",,161
Corsair,,16GB,2x8gb,3200MHz,,DDR4,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 3200MHz C16 - Black,"66,66 €
66
,
66€",,26 737
,,,,,,DDR4,,Vengeance RGB PRO 2 x 8 Go DDR4 3200 MHz CAS 16 Noir,"106,72 €
106
,
72€",,49 773
,,,,,,DDR4,,"Lexar SODIMM RAM DDR4 16Go, 3200 MHz Ram PC Portable, Mémoire pour Ordinateur Portable SODIMM, 260-Pin SO-DIMM, Mémoire RAM, Memoire Haute Performance (LD4AS016G-B3200ASST)","40,82 €
40
,
82€",,1 209
,,,,,CL18,DDR4,Intel XMP,"Lexar THOR RAM DDR4 16Go Kit (2x8Go) 3600 MHz, DRAM 288-Pin U-DIMM PC Mémoire RAM, XMP 2.0 Memoire Haute Performance, CL18-22-22-42, 1.35V (LD4BU008G-R3600GDWG)","46,77 €
46
,
77€",,100
,,,,,,DDR4,,"Lexar SODIMM RAM DDR4 8Go, 3200 MHz, Mémoire pour PC Ordinateur Portable, 260-Pin SO-DIMM, Haute Performance (LD4AS008G-B3200ASST)","23,32 €
23
,
32€",,1 123
Corsair,,,,6000MHz,CL30,DDR5,"Intel XMP, AMD EXPO",CORSAIR VENGEANCE RGB DDR5 32Go (2x16Go) DDR5 6000MHz CL30 AMD EXPO Intel XMP iCUE Mémoire Informatique Compatible - Gris (CMH32GX5M2B6000Z30K),"116,66 €
116
,
66€",,3 744
Corsair,,,,3200MHz,,DDR4,Intel XMP,Corsair Vengeance LPX 16Go (2x8Go) DDR4 3200MHz C16 XMP 2.0 Kit de Mémoire Haute Performance - Noir,"109,97 €
109
,
97€",,11 123
Crucial,CRUCIAL,,,6000MHz,CL36,DDR5,"Intel XMP, AMD EXPO, Overclocking","Crucial Pro RAM DDR5 32Go Kit (2x16Go) 6000MHz CL36, Overclocking Gaming, Intel XMP 3.0 / AMD Expo, PC Mémoire, Blanc - CP2K16G60C36U5W","78,32 €
78
,
32€",,4 006
Patriot,,,,,,DDR5,,Patriot Viper Venom DDR5 32 Go (2 x 16 Go) 6000 MT/s UDIMM Kit de mémoire de Jeu de Bureau - PVV532G600C30K,"99,99 €
99
,
99€",,1 395
,,32GB,,,CL28,DDR5,"Intel XMP, Overclocking",KLEVV CRAS V DDR5 RGB 32GB (2X 16GB) 6000MH/z CL28 Mémoire RAM Gaming Kit XMP 3.0 Hautes Performances Overclocking 28-36-36-76 – Jouez Plus Vite avec CL28 Ultra-Bas,"103,29 €
103
,
29€",,161
Corsair,,,,,,DDR4,,"Corsair Vengeance RGB RS 16 Go (2 x 8 Go), mémoire de bureau DDR4 3200 MHz C16 (éclairage RVB dynamique, temps de réponse serrés, compatible avec les séries Intel et AMD 300/400/500), noir","58,32 €
58
,
32€",,2 710
Crucial,,,,5600MHz,,DDR5,,Crucial RAM 32Go Kit (2x16Go) DDR5 5600MHz (ou 5200MHz ou 4800MHz) Mémoire pour Ordinateur Portable CT2K16G56C46S5,"87,15 €
87
,
15€",,12 316
Corsair,,,,6000MHz,CL30,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 64Go (2x32Go) 6000MHz CL30 AMD Expo Compatible iCUE Mémoire d'Ordinateur - Gris (CMK64GX5M2B6000Z30),"200,47 €
200
,
47€",,2 456
Corsair,,,,6400MHz,CL32,DDR5,Intel XMP,CORSAIR Vengeance DDR5 RAM 32Go (2x16Go) 6400MHz CL32 Intel XMP Compatible iCUE Mémoire d'Ordinateur - Noir (CMK32GX5M2B6400C32),"104,16 €
104
,
16€",,1 201
Corsair,,,,3200MHz,CL16,DDR4,Intel XMP,Corsair Vengeance LPX DDR4 RAM 32Go (2x16Go) 3200MHz CL16 Intel XMP 2.0 Mémoire d'ordinateur - Noir (CMK32GX4M2E3200C16),"79,03 €
79
,
03€",,26 737
Corsair,,32GB,2x16gb,6000MHz,CL30,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6000MHz CL30 AMD Expo Mémoire D'ordinateur Compatible iCUE - Gris (CMK32GX5M2B6000Z30),"109,94 €
109
,
94€",,2 456
Crucial,CRUCIAL,,,6000MHz,CL36,DDR5,"Intel XMP, AMD EXPO, Overclocking","Crucial Pro RAM DDR5 32Go Kit (2x16Go) 6000MHz CL36, Overclocking Gaming, Intel XMP 3.0 / AMD Expo, PC Mémoire, Noir - CP2K16G60C36U5B","77,49 €
77
,
49€",,4 006
Corsair,,,,6000MHz,CL30,DDR5,"Intel XMP, AMD EXPO",Corsair Vengeance RGB DDR5 RAM 64Go (2x32Go) 6000MHz CL30 AMD Expo Intel XMP 3.0 Mémoire d'Ordinateur – Gris (CMH64GX5M2B6000Z30),"199,99 €
199
,
99€",,3 744
Corsair,,,,,,DDR4,,"Corsair Vengeance LPX 32 Go (2 x 16 Go) DDR4 3600 (PC4-28800) Mémoire Optimisée AMD C18 1,35 V - Noir","137,22 €
137
,
22€",,3 657
Corsair,,32GB,2x16gb,6000MHz,CL36,DDR5,AMD EXPO,CORSAIR Vengeance RGB DDR5 RAM 32GB (2x16GB) 6000MHz CL36 AMD Expo Mémoire Informatique Compatible iCUE - Gris (CMH32GX5M2E6000Z36),"106,37 €
106
,
37€",,1 004
Crucial,,,,5600MHz,CL46,DDR5,,"Crucial RAM DDR5 64Go Kit (2x32Go) 5600MHz SODIMM, Mémoire pour Ordinateur Portable, Mini PC (ou 5200MHz / 4800MHz) CL46 - CT2K32G56C46S5","166,66 €
166
,
66€",,12 316
Corsair,,,,3200MHz,,DDR4,Intel XMP,Corsair Vengeance LPX 16Go (2x8Go) DDR4 3200MHz C16 XMP 2.0 Kit de Mémoire Haute Performance - Noir,"81,57 €
81
,
57€",,114 239
Corsair,,32GB,2x16gb,6000MHz,CL36,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6000MHz CL36 AMD Expo Mémoire Informatique Compatible iCUE - Gris (CMK32GX5M2E6000Z36),"99,99 €
99
,
99€",,1 080
,,,,6000MHz,CL28,DDR5,,"KLEVV FIT V 32 Go (2x16 Go) DDR5 Gaming RAM 6000MHz PC5-48000 Non tamponné Non ECC 1,35 V CL28 Kit de modules mémoire — Jouez Plus Vite avec Un CL28 Ultra Bas","112,01 €
112
,
01€",,161
Corsair,,16GB,2x8gb,3200MHz,,DDR4,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 3200MHz C16 - Black,"66,66 €
66
,
66€",,26 737
,,,,,,DDR4,,Vengeance RGB PRO 2 x 8 Go DDR4 3200 MHz CAS 16 Noir,"106,72 €
106
,
72€",,49 773
,,,,,,DDR4,,"Lexar SODIMM RAM DDR4 16Go, 3200 MHz Ram PC Portable, Mémoire pour Ordinateur Portable SODIMM, 260-Pin SO-DIMM, Mémoire RAM, Memoire Haute Performance (LD4AS016G-B3200ASST)","40,82 €
40
,
82€",,1 209
,,,,,CL18,DDR4,Intel XMP,"Lexar THOR RAM DDR4 16Go Kit (2x8Go) 3600 MHz, DRAM 288-Pin U-DIMM PC Mémoire RAM, XMP 2.0 Memoire Haute Performance, CL18-22-22-42, 1.35V (LD4BU008G-R3600GDWG)","46,77 €
46
,
77€",,100
,,,,,,DDR4,,"Lexar SODIMM RAM DDR4 8Go, 3200 MHz, Mémoire pour PC Ordinateur Portable, 260-Pin SO-DIMM, Haute Performance (LD4AS008G-B3200ASST)","23,32 €
23
,
32€",,1 123
Corsair,,,,6000MHz,CL30,DDR5,"Intel XMP, AMD EXPO",CORSAIR VENGEANCE RGB DDR5 32Go (2x16Go) DDR5 6000MHz CL30 AMD EXPO Intel XMP iCUE Mémoire Informatique Compatible - Gris (CMH32GX5M2B6000Z30K),"116,66 €
116
,
66€",,3 744
Corsair,,,,3200MHz,,DDR4,Intel XMP,Corsair Vengeance LPX 16Go (2x8Go) DDR4 3200MHz C16 XMP 2.0 Kit de Mémoire Haute Performance - Noir,"109,97 €
109
,
97€",,11 123
Crucial,CRUCIAL,,,6000MHz,CL36,DDR5,"Intel XMP, AMD EXPO, Overclocking","Crucial Pro RAM DDR5 32Go Kit (2x16Go) 6000MHz CL36, Overclocking Gaming, Intel XMP 3.0 / AMD Expo, PC Mémoire, Blanc - CP2K16G60C36U5W","78,32 €
78
,
32€",,4 006
Patriot,,,,,,DDR5,,Patriot Viper Venom DDR5 32 Go (2 x 16 Go) 6000 MT/s UDIMM Kit de mémoire de Jeu de Bureau - PVV532G600C30K,"99,99 €
99
,
99€",,1 395
,,32GB,,,CL28,DDR5,"Intel XMP, Overclocking",KLEVV CRAS V DDR5 RGB 32GB (2X 16GB) 6000MH/z CL28 Mémoire RAM Gaming Kit XMP 3.0 Hautes Performances Overclocking 28-36-36-76 – Jouez Plus Vite avec CL28 Ultra-Bas,"103,29 €
103
,
29€",,161
Corsair,,,,,,DDR4,,"Corsair Vengeance RGB RS 16 Go (2 x 8 Go), mémoire de bureau DDR4 3200 MHz C16 (éclairage RVB dynamique, temps de réponse serrés, compatible avec les séries Intel et AMD 300/400/500), noir","58,32 €
58
,
32€",,2 710
Crucial,,,,5600MHz,,DDR5,,Crucial RAM 32Go Kit (2x16Go) DDR5 5600MHz (ou 5200MHz ou 4800MHz) Mémoire pour Ordinateur Portable CT2K16G56C46S5,"87,15 €
87
,
15€",,12 316
Corsair,,,,6000MHz,CL30,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 64Go (2x32Go) 6000MHz CL30 AMD Expo Compatible iCUE Mémoire d'Ordinateur - Gris (CMK64GX5M2B6000Z30),"200,47 €
200
,
47€",,2 456
Corsair,,,,6400MHz,CL32,DDR5,Intel XMP,CORSAIR Vengeance DDR5 RAM 32Go (2x16Go) 6400MHz CL32 Intel XMP Compatible iCUE Mémoire d'Ordinateur - Noir (CMK32GX5M2B6400C32),"104,16 €
104
,
16€",,1 201
Corsair,,,,3200MHz,CL16,DDR4,Intel XMP,Corsair Vengeance LPX DDR4 RAM 32Go (2x16Go) 3200MHz CL16 Intel XMP 2.0 Mémoire d'ordinateur - Noir (CMK32GX4M2E3200C16),"79,03 €
79
,
03€",,26 737
Corsair,,32GB,2x16gb,6000MHz,CL30,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6000MHz CL30 AMD Expo Mémoire D'ordinateur Compatible iCUE - Gris (CMK32GX5M2B6000Z30),"109,94 €
109
,
94€",,2 456
Crucial,CRUCIAL,,,6000MHz,CL36,DDR5,"Intel XMP, AMD EXPO, Overclocking","Crucial Pro RAM DDR5 32Go Kit (2x16Go) 6000MHz CL36, Overclocking Gaming, Intel XMP 3.0 / AMD Expo, PC Mémoire, Noir - CP2K16G60C36U5B","77,49 €
77
,
49€",,4 006
Corsair,,,,6000MHz,CL30,DDR5,"Intel XMP, AMD EXPO",Corsair Vengeance RGB DDR5 RAM 64Go (2x32Go) 6000MHz CL30 AMD Expo Intel XMP 3.0 Mémoire d'Ordinateur – Gris (CMH64GX5M2B6000Z30),"199,99 €
199
,
99€",,3 744
Corsair,,,,,,DDR4,,"Corsair Vengeance LPX 32 Go (2 x 16 Go) DDR4 3600 (PC4-28800) Mémoire Optimisée AMD C18 1,35 V - Noir","137,22 €
137
,
22€",,3 657
Corsair,,32GB,2x16gb,6000MHz,CL36,DDR5,AMD EXPO,CORSAIR Vengeance RGB DDR5 RAM 32GB (2x16GB) 6000MHz CL36 AMD Expo Mémoire Informatique Compatible iCUE - Gris (CMH32GX5M2E6000Z36),"106,37 €
106
,
37€",,1 004
Crucial,,,,5600MHz,CL46,DDR5,,"Crucial RAM DDR5 64Go Kit (2x32Go) 5600MHz SODIMM, Mémoire pour Ordinateur Portable, Mini PC (ou 5200MHz / 4800MHz) CL46 - CT2K32G56C46S5","166,66 €
166
,
66€",,12 316
Corsair,,,,3200MHz,,DDR4,Intel XMP,Corsair Vengeance LPX 16Go (2x8Go) DDR4 3200MHz C16 XMP 2.0 Kit de Mémoire Haute Performance - Noir,"81,57 €
81
,
57€",,114 239
Corsair,,32GB,2x16gb,6000MHz,CL36,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6000MHz CL36 AMD Expo Mémoire Informatique Compatible iCUE - Gris (CMK32GX5M2E6000Z36),"99,99 €
99
,
99€",,1 080
,,,,6000MHz,CL28,DDR5,,"KLEVV FIT V 32 Go (2x16 Go) DDR5 Gaming RAM 6000MHz PC5-48000 Non tamponné Non ECC 1,35 V CL28 Kit de modules mémoire — Jouez Plus Vite avec Un CL28 Ultra Bas","112,01 €
112
,
01€",,161
Corsair,,16GB,2x8gb,3200MHz,,DDR4,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 3200MHz C16 - Black,"66,66 €
66
,
66€",,26 737
,,,,,,DDR4,,Vengeance RGB PRO 2 x 8 Go DDR4 3200 MHz CAS 16 Noir,"106,72 €
106
,
72€",,49 773
,,,,,,DDR4,,"Lexar SODIMM RAM DDR4 16Go, 3200 MHz Ram PC Portable, Mémoire pour Ordinateur Portable SODIMM, 260-Pin SO-DIMM, Mémoire RAM, Memoire Haute Performance (LD4AS016G-B3200ASST)","40,82 €
40
,
82€",,1 209
,,,,,CL18,DDR4,Intel XMP,"Lexar THOR RAM DDR4 16Go Kit (2x8Go) 3600 MHz, DRAM 288-Pin U-DIMM PC Mémoire RAM, XMP 2.0 Memoire Haute Performance, CL18-22-22-42, 1.35V (LD4BU008G-R3600GDWG)","46,77 €
46
,
77€",,100
,,,,,,DDR4,,"Lexar SODIMM RAM DDR4 8Go, 3200 MHz, Mémoire pour PC Ordinateur Portable, 260-Pin SO-DIMM, Haute Performance (LD4AS008G-B3200ASST)","23,32 €
23
,
32€",,1 123
Corsair,,,,6000MHz,CL30,DDR5,"Intel XMP, AMD EXPO",CORSAIR VENGEANCE RGB DDR5 32Go (2x16Go) DDR5 6000MHz CL30 AMD EXPO Intel XMP iCUE Mémoire Informatique Compatible - Gris (CMH32GX5M2B6000Z30K),"116,66 €
116
,
66€",,3 744
Corsair,,,,3200MHz,,DDR4,Intel XMP,Corsair Vengeance LPX 16Go (2x8Go) DDR4 3200MHz C16 XMP 2.0 Kit de Mémoire Haute Performance - Noir,"109,97 €
109
,
97€",,11 123
Crucial,CRUCIAL,,,6000MHz,CL36,DDR5,"Intel XMP, AMD EXPO, Overclocking","Crucial Pro RAM DDR5 32Go Kit (2x16Go) 6000MHz CL36, Overclocking Gaming, Intel XMP 3.0 / AMD Expo, PC Mémoire, Blanc - CP2K16G60C36U5W","78,32 €
78
,
32€",,4 006
Patriot,,,,,,DDR5,,Patriot Viper Venom DDR5 32 Go (2 x 16 Go) 6000 MT/s UDIMM Kit de mémoire de Jeu de Bureau - PVV532G600C30K,"99,99 €
99
,
99€",,1 395
,,32GB,,,CL28,DDR5,"Intel XMP, Overclocking",KLEVV CRAS V DDR5 RGB 32GB (2X 16GB) 6000MH/z CL28 Mémoire RAM Gaming Kit XMP 3.0 Hautes Performances Overclocking 28-36-36-76 – Jouez Plus Vite avec CL28 Ultra-Bas,"103,29 €
103
,
29€",,161
Corsair,,,,,,DDR4,,"Corsair Vengeance RGB RS 16 Go (2 x 8 Go), mémoire de bureau DDR4 3200 MHz C16 (éclairage RVB dynamique, temps de réponse serrés, compatible avec les séries Intel et AMD 300/400/500), noir","58,32 €
58
,
32€",,2 710
Crucial,,,,5600MHz,,DDR5,,Crucial RAM 32Go Kit (2x16Go) DDR5 5600MHz (ou 5200MHz ou 4800MHz) Mémoire pour Ordinateur Portable CT2K16G56C46S5,"87,15 €
87
,
15€",,12 316
Corsair,,,,6000MHz,CL30,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 64Go (2x32Go) 6000MHz CL30 AMD Expo Compatible iCUE Mémoire d'Ordinateur - Gris (CMK64GX5M2B6000Z30),"200,47 €
200
,
47€",,2 456
Corsair,,,,6400MHz,CL32,DDR5,Intel XMP,CORSAIR Vengeance DDR5 RAM 32Go (2x16Go) 6400MHz CL32 Intel XMP Compatible iCUE Mémoire d'Ordinateur - Noir (CMK32GX5M2B6400C32),"104,16 €
104
,
16€",,1 201
Corsair,,,,3200MHz,CL16,DDR4,Intel XMP,Corsair Vengeance LPX DDR4 RAM 32Go (2x16Go) 3200MHz CL16 Intel XMP 2.0 Mémoire d'ordinateur - Noir (CMK32GX4M2E3200C16),"79,03 €
79
,
03€",,26 737
Corsair,,32GB,2x16gb,6000MHz,CL30,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6000MHz CL30 AMD Expo Mémoire D'ordinateur Compatible iCUE - Gris (CMK32GX5M2B6000Z30),"109,94 €
109
,
94€",,2 456
Crucial,CRUCIAL,,,6000MHz,CL36,DDR5,"Intel XMP, AMD EXPO, Overclocking","Crucial Pro RAM DDR5 32Go Kit (2x16Go) 6000MHz CL36, Overclocking Gaming, Intel XMP 3.0 / AMD Expo, PC Mémoire, Noir - CP2K16G60C36U5B","77,49 €
77
,
49€",,4 006
Corsair,,,,6000MHz,CL30,DDR5,"Intel XMP, AMD EXPO",Corsair Vengeance RGB DDR5 RAM 64Go (2x32Go) 6000MHz CL30 AMD Expo Intel XMP 3.0 Mémoire d'Ordinateur – Gris (CMH64GX5M2B6000Z30),"199,99 €
199
,
99€",,3 744
Corsair,,,,,,DDR4,,"Corsair Vengeance LPX 32 Go (2 x 16 Go) DDR4 3600 (PC4-28800) Mémoire Optimisée AMD C18 1,35 V - Noir","137,22 €
137
,
22€",,3 657
Corsair,,32GB,2x16gb,6000MHz,CL36,DDR5,AMD EXPO,CORSAIR Vengeance RGB DDR5 RAM 32GB (2x16GB) 6000MHz CL36 AMD Expo Mémoire Informatique Compatible iCUE - Gris (CMH32GX5M2E6000Z36),"106,37 €
106
,
37€",,1 004
Crucial,,,,5600MHz,CL46,DDR5,,"Crucial RAM DDR5 64Go Kit (2x32Go) 5600MHz SODIMM, Mémoire pour Ordinateur Portable, Mini PC (ou 5200MHz / 4800MHz) CL46 - CT2K32G56C46S5","166,66 €
166
,
66€",,12 316
Corsair,,,,3200MHz,,DDR4,Intel XMP,Corsair Vengeance LPX 16Go (2x8Go) DDR4 3200MHz C16 XMP 2.0 Kit de Mémoire Haute Performance - Noir,"81,57 €
81
,
57€",,114 239
Corsair,,32GB,2x16gb,6000MHz,CL36,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6000MHz CL36 AMD Expo Mémoire Informatique Compatible iCUE - Gris (CMK32GX5M2E6000Z36),"99,99 €
99
,
99€",,1 080
,,,,6000MHz,CL28,DDR5,,"KLEVV FIT V 32 Go (2x16 Go) DDR5 Gaming RAM 6000MHz PC5-48000 Non tamponné Non ECC 1,35 V CL28 Kit de modules mémoire — Jouez Plus Vite avec Un CL28 Ultra Bas","112,01 €
112
,
01€",,161
Corsair,,16GB,2x8gb,3200MHz,,DDR4,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 3200MHz C16 - Black,"66,66 €
66
,
66€",,26 737
,,,,,,DDR4,,Vengeance RGB PRO 2 x 8 Go DDR4 3200 MHz CAS 16 Noir,"106,72 €
106
,
72€",,49 773
,,,,,,DDR4,,"Lexar SODIMM RAM DDR4 16Go, 3200 MHz Ram PC Portable, Mémoire pour Ordinateur Portable SODIMM, 260-Pin SO-DIMM, Mémoire RAM, Memoire Haute Performance (LD4AS016G-B3200ASST)","40,82 €
40
,
82€",,1 209
,,,,,CL18,DDR4,Intel XMP,"Lexar THOR RAM DDR4 16Go Kit (2x8Go) 3600 MHz, DRAM 288-Pin U-DIMM PC Mémoire RAM, XMP 2.0 Memoire Haute Performance, CL18-22-22-42, 1.35V (LD4BU008G-R3600GDWG)","46,77 €
46
,
77€",,100
,,,,,,DDR4,,"Lexar SODIMM RAM DDR4 8Go, 3200 MHz, Mémoire pour PC Ordinateur Portable, 260-Pin SO-DIMM, Haute Performance (LD4AS008G-B3200ASST)","23,32 €
23
,
32€",,1 123
Corsair,,,,6000MHz,CL30,DDR5,"Intel XMP, AMD EXPO",CORSAIR VENGEANCE RGB DDR5 32Go (2x16Go) DDR5 6000MHz CL30 AMD EXPO Intel XMP iCUE Mémoire Informatique Compatible - Gris (CMH32GX5M2B6000Z30K),"116,66 €
116
,
66€",,3 744
Corsair,,,,3200MHz,,DDR4,Intel XMP,Corsair Vengeance LPX 16Go (2x8Go) DDR4 3200MHz C16 XMP 2.0 Kit de Mémoire Haute Performance - Noir,"109,97 €
109
,
97€",,11 123
Crucial,CRUCIAL,,,6000MHz,CL36,DDR5,"Intel XMP, AMD EXPO, Overclocking","Crucial Pro RAM DDR5 32Go Kit (2x16Go) 6000MHz CL36, Overclocking Gaming, Intel XMP 3.0 / AMD Expo, PC Mémoire, Blanc - CP2K16G60C36U5W","78,32 €
78
,
32€",,4 006
Patriot,,,,,,DDR5,,Patriot Viper Venom DDR5 32 Go (2 x 16 Go) 6000 MT/s UDIMM Kit de mémoire de Jeu de Bureau - PVV532G600C30K,"99,99 €
99
,
99€",,1 395
